3102.2929 	 -11.4 	 7.0
3213.1702 	 -85.6 	 7.1
3310.9914 	 23.7 	 5.3
3448.3230 	 -50.3 	 4.8
3470.3333 	 -48.7 	 7.2
3499.1952 	 -53.7 	 5.9
3520.3046 	 4.5 	 7.9
3579.0731 	 -23.5 	 7.8
3607.0846 	 -46.2 	 8.8
3636.0151 	 -30.2 	 6.5
3695.9542 	 80.5 	 6.1
3813.3486 	 77.0 	 6.2
3887.2842 	 -32.9 	 5.2
3962.0643 	 103.6 	 6.9
3967.0716 	 71.7 	 8.7
3974.0548 	 59.5 	 6.9
3987.0199 	 23.8 	 6.6
4018.0165 	 -45.5 	 6.5
4022.0373 	 -81.2 	 5.2
4048.9763 	 -41.7 	 6.1
4088.8857 	 50.7 	 6.1
4143.3757 	 -16.9 	 7.1
4172.3496 	 -57.1 	 5.6
4216.3038 	 31.0 	 5.8
4220.3112 	 58.2 	 6.9
4254.1264 	 8.5 	 5.5
