54704.8563	-7.236	0.013	0.005	
54706.8761	-7.368	0.026	0.030	
54708.8417	-7.189	0.011	-0.020	
54709.7625	-7.320	0.019	-0.038	
54710.7697	-7.291	0.024	0.046	
54715.8843	-7.201	0.018	0.058	
54716.8457	-7.262	0.041	-0.127	
54717.7794	-7.386	0.041	0.034	
54720.7520	-7.312	0.017	0.002	
54721.8184	-7.289	0.019	0.028	
54722.8233	-7.201	0.012	-0.033	
54724.7367	-7.314	0.017	-0.011	
54726.8108	-7.225	0.012	0.010	
54729.8623	-7.206	0.013	-0.005	
54731.8658	-7.345	0.012	-0.015	
54740.7564	-7.199	0.020	-0.058	
54834.5647	-7.304	0.018	0.014	
54836.5707	-7.225	0.017	-0.019	
54853.6313	-7.171	0.014	0.046	
54854.6322	-7.275	0.013	0.018	
54855.6091	-7.310	0.012	0.001	
54860.5404	-7.183	0.013	0.051	
54862.5589	-7.327	0.015	-0.046	
54865.5628	-7.313	0.014	0.024	
54879.5256	-7.280	0.017	-0.039	
54880.5402	-7.273	0.021	0.033	
54882.5242	-7.193	0.021	0.043	
54885.5207	-7.159	0.016	-0.014	
54886.5443	-7.299	0.017	-0.015	
55095.8758	-7.308	0.013	0.013	
55100.8593	-7.154	0.015	-0.002	
55126.7935	-7.266	0.015	0.005	
55128.7415	-7.169	0.016	0.006	
55185.6618	-7.147	0.011	-0.007	
55186.6153	-7.234	0.011	-0.025	
55189.6571	-7.164	0.010	0.004	
55190.6690	-7.284	0.011	-0.008
54743.7527	-7.1832	0.0029	0.0090	
54746.7683	-7.2391	0.0026	0.0040	
54749.7650	-7.2941	0.0024	0.0039	
54750.6791	-7.1940	0.0029	0.0109	
54754.7257	-7.1752	0.0025	0.0118	
54755.7558	-7.2726	0.0032	0.0329	
