67.60205,-51.9454,0.0434,-0.0365,3400,6.50
68.62368,-51.9861,0.0466,-0.0820,3600,5.90
69.64102,-52.0760,0.0404,0.0089,3300,7.50
70.64996,-51.9685,0.0394,0.0053,3000,7.60
71.58942,-51.9003,0.0388,0.0833,3000,8.00
78.56893,-51.8960,0.0281,-0.1148,3600,7.40
98.52473,-51.7939,0.0374,-0.0440,3600,4.60
101.52502,-51.9240,0.0693,0.2041,3600,3.50
104.50018,-51.8781,0.0504,0.0613,3600,4.50
320.76896,-52.0428,0.0361,-0.0543,3600,5.60
321.90436,-51.8916,0.0397,0.0218,3600,5.90
323.90457,-51.8282,0.0467,-0.0977,3600,5.00
324.76683,-51.8449,0.0541,0.0641,3600,3.50
325.90390,-52.0418,0.0527,0.2196,3600,4.00
326.81222,-51.9024,0.0562,0.0012,3600,3.80
336.89012,-51.8928,0.0398,-0.0860,3600,5.30
339.79632,-51.9331,0.0392,0.1051,3600,5.10
341.82049,-51.9788,0.0335,-0.1113,3600,6.20
342.79029,-51.9087,0.0524,-0.0047,3600,4.60
352.78220,-52.0062,0.0576,-0.1392,3600,4.00
355.68523,-51.8551,0.0528,-0.0317,3600,4.20
376.74381,-51.8401,0.0398,-0.1109,3600,5.70
411.64142,-52.0072,0.0512,-0.0989,3600,4.40
414.55156,-51.8571,0.0374,-0.0549,3600,5.10
12.91010,0.0408,0.0202,,,
14.03745,0.0500,0.0217,,,
368.07812,0.0094,0.0274,,,
368.92843,-0.0430,0.0288,,,
369.11855,-0.1068,0.0584,,,
429.77181,0.0222,0.0277,,,
430.78491,0.0274,0.0186,,,
