8613.692,46.189,0.011,7.858,50.059,−0.064,HARPS
8615.664,46.066,0.007,7.837,50.219,−0.031,HARPS
8616.656,46.191,0.008,7.837,49.736,−0.003,HARPS
8617.649,45.981,0.014,7.847,48.371,−0.010,HARPS
8642.655,46.064,0.009,7.798,50.454,0.033,HARPS
8546.699,46.124,0.151,9.206,58.315,−4.184,CORALIE
8547.824,46.269,0.099,8.644,55.326,−0.176,CORALIE
8565.688,46.198,0.118,8.889,49.903,0.080,CORALIE
8566.837,45.971,0.084,8.581,51.157,−0.218,CORALIE
8593.533,46.200,0.132,8.649,49.514,0.141,CORALIE
8601.602,46.208,0.094,8.737,53.746,−0.085,CORALIE
8591.597,46.100,0.011,–,–,−0.022,FEROS
8592.680,46.135,0.029,–,–,0.004,FEROS
8593.569,46.227,0.013,–,–,0.005,FEROS
8594.619,45.938,0.013,–,–,0.006,FEROS
8597.574,45.965,0.014,–,–,−0.075,FEROS
8599.601,46.040,0.013,–,–,−0.037,FEROS
8599.648,45.968,0.014,–,–,0.006,FEROS
8599.798,46.007,0.015,–,–,−0.066,FEROS
