5457.7875,–136.5,5.1,FEROS
6099.9286,59.6,4.9,FEROS
6110.8570,41.3,3.8,FEROS
6160.8413,25.2,3.5,FEROS
6230.6666,23.2,4.1,FEROS
6241.7042,23.2,3.8,FEROS
6251.7343,24.4,2.9,FEROS
6321.5772,1.4,4.2,FEROS
6565.7347,–61.8,4.7,FEROS
6533.8456,78.4,5.1,CHIRON
6823.9189,2.9,5.1,CHIRON
6836.8384,17.3,5.1,CHIRON
6850.7623,0.6,4.8,CHIRON
6882.7614,–0.6,4.0,CHIRON
6909.8364,–15.4,4.0,CHIRON
6939.5587,–26.2,4.1,CHIRON
6958.5726,–30.7,4.3,CHIRON
6972.6441,–25.9,4.4,CHIRON
6993.5329,–37.6,3.6,CHIRON
7017.6540,–11.2,4.0,CHIRON
7060.5258,–39.9,4.3,CHIRON
7070.5331,–9.6,4.7,CHIRON
7080.5042,–25.0,6.6,CHIRON
7163.9265,–17.9,6.0,CHIRON
7192.8795,–14.2,4.3,CHIRON
7253.7358,–0.3,4.9,CHIRON
7273.8077,10.0,3.9,CHIRON
7284.8938,20.1,4.9,CHIRON
7286.8216,32.6,5.2,CHIRON
7293.7664,27.6,4.6,CHIRON
7311.7297,25.8,3.9,CHIRON
7332.6564,39.3,3.8,CHIRON
5138.1360,–53.1,1.7,UCLES
5496.1501,–94.2,1.8,UCLES
5525.9950,–83.6,1.8,UCLES
5880.0887,11.4,2.3,UCLES
5969.9464,44.3,2.3,UCLES
6527.2141,0.00,2.2,UCLES
