
275.3780,-15.3677,0.0117,+0.00,0.1130,–,ELODIE
277.3547,-15.3837,0.0091,+0.00,0.1190,–,ELODIE
549.5873,-15.3973,0.0093,+0.00,0.1120,–,ELODIE
934.4769,-15.5600,0.0124,+0.00,0.1090,–,ELODIE
936.4564,-15.5960,0.0140,+0.00,0.1100,–,ELODIE
960.4783,-15.5660,0.0207,+0.00,0.1120,–,ELODIE
1306.4979,-15.4853,0.0048,+69.30,0.1077,0.0018,SOPHIE
1307.5544,-15.4802,0.0034,+38.80,0.1107,0.0012,SOPHIE
1308.4603,-15.5049,0.0032,+39.80,0.1100,0.0012,SOPHIE
1309.4760,-15.5015,0.0030,+30.50,0.1094,0.0011,SOPHIE
1310.4984,-15.4896,0.0039,+33.50,0.1081,0.0014,SOPHIE
1311.5065,-15.4723,0.0031,+31.20,0.1121,0.0011,SOPHIE
1312.4696,-15.4838,0.0035,+45.20,0.1099,0.0013,SOPHIE
1313.5716,-15.4811,0.0029,+36.50,0.1093,0.0010,SOPHIE
1314.4775,-15.4879,0.0034,+34.50,0.1101,0.0012,SOPHIE
1328.5718,-15.4754,0.0044,+22.80,0.1108,0.0014,SOPHIE
1330.4228,-15.4815,0.0049,+48.20,0.1099,0.0020,SOPHIE
1338.4397,-15.4890,0.0033,+40.50,0.1128,0.0012,SOPHIE
1350.5303,-15.4741,0.0027,+41.80,0.1081,0.0009,SOPHIE
1352.3593,-15.4681,0.0025,+43.80,0.1087,0.0009,SOPHIE
1430.2529,-15.4558,0.0025,+35.70,0.1068,0.0009,SOPHIE
2041.4830,-15.2115,0.0044,+32.70,0.1063,0.0016,SOPHIE
2042.3868,-15.1920,0.0045,+26.20,0.1068,0.0015,SOPHIE
2042.5606,-15.1949,0.0046,+26.30,0.1098,0.0017,SOPHIE
2092.3896,-15.2056,0.0042,+33.80,0.1093,0.0015,SOPHIE
2401.4313,-15.3552,0.0047,+25.50,0.1113,0.0018,SOPHIE
2403.4084,-15.4023,0.0046,+30.70,0.1138,0.0017,SOPHIE
2428.4663,-15.3728,0.0041,+46.30,0.1120,0.0015,SOPHIE
2435.3729,-15.3948,0.0047,+28.70,0.1098,0.0018,SOPHIE
2443.4975,-15.3994,0.0034,+43.30,0.1115,0.0012,SOPHIE
2495.4067,-15.3919,0.0047,+52.70,0.1111,0.0017,SOPHIE
2527.2413,-15.4542,0.0083,+11.70,0.1132,0.0033,SOPHIE
2659.6502,-15.4690,0.0046,+45.70,0.1141,0.0017,SOPHIE
2807.3832,-15.4279,0.0087,+61.30,0.1203,0.0033,SOPHIE+
2820.3930,-15.4381,0.0040,+15.20,0.1108,0.0015,SOPHIE+
2877.3723,-15.4226,0.0047,+17.50,0.1085,0.0016,SOPHIE+
2994.6887,-15.4092,0.0055,+2.80,0.1151,0.0020,SOPHIE+
3106.5175,-15.3854,0.0034,+38.00,0.1077,0.0012,SOPHIE+
3155.4027,-15.3637,0.0047,+30.70,0.1102,0.0017,SOPHIE+
3218.4269,-15.3382,0.0047,+39.20,0.1081,0.0017,SOPHIE+
3426.5652,-15.2181,0.0024,+36.00,0.1065,0.0008,SOPHIE+
3486.5425,-15.1750,0.0047,+18.50,0.1116,0.0016,SOPHIE+
3612.2511,-15.1229,0.0054,+8.50,0.1129,0.0019,SOPHIE+
3622.2372,-15.1220,0.0046,+38.50,0.1077,0.0016,SOPHIE+
3643.2640,-15.1354,0.0037,+37.80,0.1101,0.0013,SOPHIE+
3793.6204,-15.2053,0.0043,+20.50,0.1146,0.0015,SOPHIE+
3884.4642,-15.2776,0.0042,+30.30,0.1095,0.0015,SOPHIE+
3903.5775,-15.2705,0.0049,+19.70,0.1128,0.0013,SOPHIE+
4150.5838,-15.3645,0.0042,+15.80,0.1108,0.0015,SOPHIE+
4153.6009,-15.3735,0.0042,+24.70,0.1101,0.0015,SOPHIE+
