4491.3462,33.2165,0.0089,-0.0013333,0.03133,SOPHIE
4855.6494,33.1522,0.0110,-0.0241850,0.02735,HARPS
4859.5234,33.1978,0.0089,0.0150000,0.02843,SOPHIE
4861.8052,33.1559,0.0110,0.0573989,0.02435,HARPS
5190.8584,33.1793,0.0080,-0.0384314,0.02154,HARPS
5627.7314,33.2302,0.0270,0.0061686,0.02206,HARPS
5946.8267,33.1927,0.0180,0.0812266,0.02624,HARPS
5967.6030,33.1589,0.0170,-0.0273837,0.02377,HARPS
5978.5732,33.2331,0.0170,0.0187173,0.02635,HARPS
5985.5850,33.1612,0.0090,-0.0098333,0.02806,SOPHIE
6245.8511,33.1369,0.0150,0.0556374,0.02424,HARPS
6269.7925,33.1744,0.0170,0.0426396,0.02201,HARPS
6302.7832,33.1737,0.0220,0.0607550,0.02471,HARPS
6308.7578,33.1658,0.0110,0.0069258,0.02561,HARPS
6323.7534,33.1513,0.0170,0.0179823,0.02399,HARPS
6333.7314,33.2038,0.0140,0.0456952,0.02144,HARPS
6682.6787,33.1879,0.0090,0.0310414,0.02459,HARPS
6694.5210,33.1934,0.0124,0.0562494,–,HARPS-N
6697.4912,33.2130,0.0092,0.0208414,–,HARPS-N
6715.7002,33.1711,0.0110,0.0338823,0.02443,HARPS
6719.6357,33.1821,0.0140,0.0273266,0.02430,HARPS
6720.4028,33.1154,0.0145,-0.0233333,0.02147,SOPHIE
6721.5381,33.1395,0.0129,0.0215000,0.03277,SOPHIE
6977.8101,33.1514,0.0150,-0.0060115,0.02535,HARPS
6978.8369,33.1645,0.0160,0.0337306,0.02274,HARPS
6983.8188,33.2158,0.0120,0.0234168,0.02289,HARPS
