2458645.450517782,-23.483,0.075,11.5,CAFE
2458646.412329766,-23.359,0.064,9.7,CAFE
2458674.442495487,-22.996,0.040,11.0,CAFE
2458675.439193288,-23.460,0.046,10.6,CAFE
2458675.547551508,-22.940,0.043,10.6,CAFE
2458701.396477561,-23.354,0.043,10.9,CAFE
2458617.579298275,-23.098,0.044,10.8,CAFE
2458617.594995345,-22.850,0.042,10.8,CAFE
2458618.558319524,-23.032,0.035,11.3,CAFE
2458618.631484145,-23.159,0.037,11.2,CAFE
2458626.556106488,-23.161,0.046,11.0,CAFE
2458626.57112051,-23.336,0.080,10.9,CAFE
2458627.631194962,-22.944,0.094,11.3,CAFE
2459024.455894218,-23.007,0.048,10.9,CAFE
2459024.583168107,-23.411,0.062,10.5,CAFE
2459025.468880206,-23.193,0.043,10.7,CAFE
2459025.586753734,-23.311,0.043,11.2,CAFE
2459046.4690974,-23.263,0.014,11.1,HERMES
2459046.7003785,-23.327,0.016,11.9,HERMES
2459047.5290948,-22.968,0.013,11.2,HERMES
2459047.6427982,-24.361,0.022,12.8,HERMES
2459049.4647511,-23.142,0.015,11.7,HERMES
2459049.6083404,-23.458,0.019,10.3,HERMES
2459050.4744119,-23.703,0.015,11.7,HERMES
2459050.656347,-23.407,0.014,13.4,HERMES
