8369.59230,-650.8,16.5
8369.68969,-319.3,12.2
8369.74174,-67.4,11.9
8369.81965,293.6,13.4
8370.57894,-613.7,11.7
8370.66590,-323.7,12.9
8370.71827,-65.7,16.7
8370.78546,234.8,15.2
8371.57496,-591.1,15.4
8371.64147,-326.5,16.7
8371.77372,265.9,11.8
8371.82794,486.0,10.1
8371.92226,744.7,15.3
8372.56158,-597.2,22.3
8372.69277,-36.1,9.6
8372.84314,590.3,7.0
8372.92524,722.9,20.5
8373.55514,-499.4,19.9
8373.69723,96.9,38.4
8375.55321,-406.1,16.5
8375.78704,600.6,16.4
8375.86988,742.4,14.0
8379.61043,171.5,19.8
8379.78845,740.0,15.7
8380.62274,309.9,16.9
8380.78421,726.7,12.0
8380.91677,453.0,35.9
8381.90793,435.4,39.1
8382.90787,423.1,19.0
8383.88954,399.8,19.0
8385.88544,240.0,16.7
8390.59432,758.4,21.6
8390.78867,278.6,25.0
8392.68328,504.0,13.5
8393.51258,692.4,17.6
8393.58814,712.3,10.7
8394.50312,743.9,31.1
8394.58626,659.7,15.1
8394.80467,-127.8,13.8
8395.51021,729.3,22.2
8404.71885,-589.5,15.9
8509.54996,-11.6,11.6
8799.62251,648.2,26.2
8800.55031,571.3,19.0
8800.72591,639.8,31.6
8801.59100,700.8,23.0
8802.56096,727.4,16.3
8802.63289,742.6,20.2
8804.53716,736.6,15.0
8804.62272,700.5,10.8
8812.53006,592.9,26.9
8812.61004,287.6,29.5
8817.61384,-182.2,19.5
8832.56591,-703.8,21.0
8833.55323,-737.5,24.9
8833.64288,-546.5,20.6
8835.59108,-569.5,20.0
8861.53040,688.1,15.7
