7182.81976,-31.91,14.00,-77.0,19.0,0.121,FEROS
7187.88874,-42.91,14.00,-20.0,19.0,0.189,FEROS
7189.86037,23.09,12.00,6.0,17.0,0.605,FEROS
7192.88690,12.09,14.00,29.0,19.0,0.243,FEROS
7198.91703,10.13,9.89,---,---,0.515,PFS
7198.92817,23.52,9.70,---,---,0.517,PFS
7199.92164,57.98,9.29,---,---,0.727,PFS
7199.93228,31.21,9.31,---,---,0.729,PFS
7200.92982,28.89,8.26,---,---,0.939,PFS
7200.94141,6.75,12.87,---,---,0.942,PFS
7202.90860,0.29,7.76,---,---,0.357,PFS
7202.91989,-25.30,10.02,---,---,0.359,PFS
7203.90169,-4.99,9.79,---,---,0.566,PFS
7203.91219,-37.67,10.21,---,---,0.568,PFS
7204.94090,-2.99,7.94,---,---,0.785,PFS
7210.89718,13.09,13.00,36.0,17.0,0.041,FEROS
7211.91925,-4.91,12.00,-30.0,16.0,0.257,FEROS
7212.89415,-29.91,11.00,-30.0,15.0,0.462,FEROS
7220.79108,-83.91,14.00,-47.0,19.0,0.127,FEROS
7228.71214,64.09,12.00,16.0,16.0,0.798,FEROS
7230.86819,-7.91,10.00,0.0,13.0,0.252,FEROS
7327.60315,55.09,13.00,-31.0,18.0,0.650,FEROS
7570.88719,-32.91,14.00,38.0,19.0,0.950,FEROS
7576.86278,19.09,13.00,-3.0,18.0,0.210,FEROS
7585.86394,54.49,10.90,22.0,15.0,0.108,FEROS
7591.85299,30.49,14.10,-9.0,16.0,0.371,FEROS
7593.76470,0.89,11.10,-27.0,15.0,0.774,FEROS
7612.69088,27.29,12.20,-29.0,17.0,0.765,FEROS
7614.64079,-45.31,12.80,-17.0,17.0,0.176,FEROS
7647.80684,-26.71,12.10,-3.0,16.0,0.170,FEROS
7727.68958,34.69,12.50,-95.0,17.0,0.014,FEROS
