6900.5292,-44.880,0.017,-0.069,3600,16.2
6935.3558,-45.082,0.024,0.002,3600,16.3
6948.3726,-45.020,0.012,-0.044,3600,23.2
6975.3101,-44.923,0.016,-0.018,3600,20.0
6982.3470,-44.919,0.016,-0.054,3600,21.9
7107.6489,-44.878,0.026,0.002,3164,18.2
7192.5683,-44.912,0.020,0.005,3600,16.7
7211.4976,-44.922,0.034,-0.027,3600,11.9
7219.4596,-45.063,0.030,-0.088,2452,12.4
7225.4649,-45.016,0.015,-0.017,3600,19.8
7241.4781,-44.951,0.019,-0.027,3600,18.1
7246.4579,-44.948,0.022,-0.051,3600,16.1
7261.3529,-44.905,0.017,-0.047,3600,18.3
7265.4376,-44.917,0.019,0.026,3600,18.1
7276.4394,-44.913,0.014,0.024,3600,17.3
7303.3809,-44.871,0.022,0.050,3600,13.5
7334.3829,-44.929,0.025,-0.034,3443,17.4
7346.2494,-44.988,0.038,0.039,2704,10.8
7352.2475,-44.954,0.032,-0.046,3600,14.1
7359.2618,-45.063,0.015,-0.032,3600,19.1
7379.2595,-44.952,0.036,-0.002,2801,15.0
7607.4763,-44.871,0.016,-0.054,3600,15.8
7623.5069,-44.884,0.022,-0.029,3600,16.0
7628.5428,-44.951,0.020,-0.030,3600,14.4
7659.3588,-44.980,0.019,-0.085,3600,14.3
