2458763.68342,52.68,43.54,34,HPFpre,c,
2458778.65399,-23.56,14.51,68,HPFpre,
2458782.63085,-10.48,12.82,75,HPFpre,
2458784.63162,16.50,12.63,77,HPFpre,
2458789.62112,68.47,13.83,71,HPFpre,
2458793.60354,60.85,21.72,47,HPFpre,
2458802.58906,-1.13,19.94,50,HPFpre,
2458803.57261,-46.29,16.95,59,HPFpre,
2458805.58078,4.14,14.73,67,HPFpre,
2458809.56162,-14.05,14.30,68,HPFpre,
2458810.55741,2.57,24.09,42,HPFpre,
2458811.55496,-7.49,11.77,83,HPFpre,
2458818.55514,97.10,30.01,36,HPFpre,
2458819.54226,113.14,15.21,67,HPFpre,
2458820.54718,102.72,15.44,64,HPFpre,
2458971.88328,67.59,30.63,34,HPFpre,
2458974.88034,24.97,29.68,35,HPFpre,
2458977.88244,-3.99,26.67,38,HPFpre,
2459004.80488,-22.52,24.76,41,HPFpre,
2459005.79603,0.05,21.99,45,HPFpre,
2459006.79804,-17.51,18.45,53,HPFpre,
2459041.93039,-27.15,16.61,58,HPFpre,
2459043.70033,-26.60,13.71,71,HPFpre,
2459057.88720,42.62,14.87,66,HPFpre,
2459089.80308,20.95,16.62,60,HPFpre,
2459120.72756,22.37,13.80,72,HPFpre,
2459125.70312,-42.30,13.50,73,HPFpre,
2459129.69317,-29.26,13.62,72,HPFpre,
2459136.67793,61.82,12.86,76,HPFpre,
2459163.59938,-0.52,18.64,53,HPFpre,
2459169.57385,51.91,17.52,57,HPFpre,
2459296.99568,-68.24,24.51,42,HPFpre,
2459300.99395,-43.55,17.76,55,HPFpre,
2459382.77297,-16.71,20.60,49,HPFpre,
2459472.74724,-21.35,18.15,55,HPFpre,
2459480.72502,21.16,21.48,50,HPFpre,
2459486.71612,85.63,15.79,64,HPFpre,
2459492.69426,114.13,17.94,57,HPFpre,
2459493.69425,76.29,15.50,65,HPFpre,
2459504.68897,-74.44,7.71,16,NEID,
2459530.59402,-9.95,17.22,58,HPFpre,
2459532.67008,-37.32,7.08,17,NEID,
2459698.89831,16.71,14.02,9,NEID,
2459714.81917,-11.16,15.39,9,NEID,
2459715.86110,6.71,17.15,59,HPFpre,
2459717.84933,89.17,35.15,34,HPFpre,
2459781.91055,-10.38,19.07,51,HPFpost,
2459788.89371,-40.33,18.69,52,HPFpost,
