6404.52027	46.4982	0.0063	0.0069	−5.478	0.584
6435.37047	46.6041	0.0030	0.0111	−5.263	0.111
6549.73055	46.5796	0.0019	0.0034	−5.126	0.045
6564.73154	46.5961	0.0017	0.0078	−5.020	0.028
6569.69948	46.5727	0.0025	0.0078	−5.054	0.057
6570.74915	46.5688	0.0023	0.0051	−5.134	0.059
6579.73878	46.5862	0.0017	0.0097	−5.109	0.035
6581.76437	46.5688	0.0019	0.0107	−5.006	0.034
6584.75753	46.5460	0.0029	0.0039	−5.070	0.071
6585.72086	46.5401	0.0024	−0.0031	−5.083	0.055
6586.70194	46.5395	0.0022	0.0002	−5.000	0.040
6602.73935	46.5154	0.0018	0.0061	−5.053	0.033
6603.67615	46.5036	0.0016	0.0123	−4.993	0.025
6604.72411	46.5003	0.0019	0.0075	−5.053	0.035
6607.76170	46.4898	0.0028	0.0172	−5.100	0.075
6608.75358	46.4921	0.0016	0.0040	−5.061	0.030
6617.70822	46.5064	0.0018	0.0050	−4.981	0.027
6618.73859	46.4941	0.0022	0.0118	−5.053	0.045
6620.76267	46.4809	0.0017	0.0085	−5.053	0.032
6621.65931	46.4751	0.0020	0.0055	−5.090	0.045
6622.77386	46.4680	0.0018	0.0061	−4.996	0.029
6631.64148	46.5101	0.0024	0.0071	−5.008	0.048
6653.51105	46.5693	0.0019	0.0055	−5.100	0.043
6656.47923	46.5649	0.0038	0.0074	−5.004	0.091
6657.46522	46.5656	0.0038	0.0014	−5.198	0.143
6658.45326	46.5618	0.0029	0.0104	−5.077	0.075
6693.63057	46.5785	0.0024	0.0036	−5.006	0.049
6693.70485	46.5749	0.0027	0.0060	−4.913	0.050
6694.39223	46.5767	0.0018	0.0095	−4.976	0.028
6694.65433	46.5742	0.0025	0.0103	−5.000	0.048
6695.44269	46.5730	0.0037	0.0117	−4.901	0.064
6695.62098	46.5749	0.0044	0.0085	−5.106	0.131
6696.39858	46.5681	0.0033	0.0027	−4.963	0.064
6697.38288	46.5608	0.0016	0.0021	−5.026	0.026
6698.40230	46.5600	0.0023	0.0011	−4.995	0.042
6699.45786	46.5551	0.0014	0.0046	−5.038	0.023
6700.44799	46.5647	0.0020	0.0085	−4.987	0.034
6700.48597	46.5633	0.0017	0.0136	−5.027	0.030
6701.36430	46.5677	0.0018	0.0043	−5.009	0.032
6701.50593	46.5683	0.0018	0.0014	−5.033	0.031
6702.39608	46.5719	0.0019	0.0005	−5.051	0.035
6719.38765	46.5283	0.0033	0.0119	−5.039	0.099
6719.51119	46.5284	0.0021	0.0006	−4.999	0.039
6720.38049	46.5379	0.0021	0.0040	−5.007	0.038
6720.58213	46.5365	0.0021	0.0038	−5.064	0.043
6721.37526	46.5543	0.0088	0.0067	−5.030	0.254
6723.35649	46.5503	0.0043	0.0035	−5.008	0.104
6724.33597	46.5429	0.0015	−0.0024	−4.984	0.021
6725.35840	46.5394	0.0034	0.0169	−5.137	0.101
6725.49169	46.5382	0.0023	0.0028	−5.028	0.047
6728.58121	46.5169	0.0037	0.0116	−4.985	0.085
6751.42778	46.4795	0.0030	0.0046	−5.008	0.068
6762.42972	46.5252	0.0023	−0.0014	−5.053	0.056
6763.36878	46.5278	0.0021	0.0069	−4.962	0.037
6764.42477	46.5199	0.0081	0.0130	−4.899	0.192
6768.47748	46.5137	0.0080	0.0277	−4.836	0.197
6769.36163	46.5237	0.0016	0.0067	−5.061	0.032
6775.36013	46.5751	0.0025	0.0072	−5.150	0.075
6783.37304	46.5915	0.0015	0.0039	−5.033	0.026
6784.37312	46.5856	0.0016	0.0026	−5.039	0.031
6785.36182	46.5849	0.0025	0.0037	−5.178	0.082
6787.36842	46.5847	0.0031	−0.0020	−5.126	0.102
6788.37059	46.5873	0.0020	0.0041	−5.009	0.042
