2456902.88217,-8.88,1.31,0.20,TRES,
2457642.70515,-9.87,0.50,0.98,TRES,
2457642.73542,-8.96,0.94,0.99,TRES,
2457902.80358,-9.67,0.71,0.98,TRES,
2457902.82614,-8.61,1.36,0.99,TRES,
2457902.84897,-10.26,2.28,0.99,TRES,
2457902.87114,-10.80,1.00,1.00,TRES,
2457902.89397,-11.51,0.62,0.00,TRES,
2457902.91618,-11.03,0.62,0.01,TRES,
2457902.93846,-12.27,0.91,0.02,TRES,
2457902.96073,-11.17,0.61,0.02,TRES,
2457903.94587,-11.25,0.75,0.30,TRES,
2457905.81193,-11.11,0.75,0.81,TRES,
2457910.86090,-10.84,0.58,0.21,TRES,
2457913.82452,-10.52,0.53,0.03,TRES,
2457914.86709,-9.77,0.53,0.32,TRES,
2457915.95596,-11.01,0.50,0.62,TRES,
2457916.89286,-10.86,0.50,0.88,TRES,
2457917.95251,-11.23,1.21,0.17,TRES,
2457919.91707,-10.92,0.52,0.72,TRES,
2457686.57439,-9.75,1.62,0.13,TS23,
2457686.71975,-10.86,0.93,0.17,TS23,
2457687.58795,-9.83,0.81,0.41,TS23,
2457732.56483,-9.48,1.60,0.86,TS23,
2457734.59627,-10.45,0.68,0.42,TS23,
2457735.58946,-10.71,1.23,0.69,TS23,
2457736.57659,-15.99,1.96,0.97,TS23,
2457919.93596,-10.01,2.78,0.72,TS23,
2457920.92942,-10.71,1.48,1.00,TS23,
2457921.91076,-10.59,1.27,0.27,TS23,
2457922.93250,-9.49,1.89,0.55,TS23,
2457923.91227,-10.44,1.86,0.82,TS23,
