13405.936,-34.98,4.24,L,
13435.836,-37.40,4.05,L,
13502.774,3.04,3.76,L,
13517.768,8.07,3.90,L,
13719.011,-13.68,3.46,L,
14131.051,38.40,4.17,L,
14133.931,37.92,3.49,L,
14146.787,28.17,4.15,L,
14150.947,34.70,6.03,L,
14168.823,28.25,4.33,L,
14169.860,30.86,3.65,L,
14178.699,36.12,4.10,L,
14216.839,-6.66,4.22,L,
14218.709,-8.74,6.44,L,
14232.713,-4.29,4.05,L,
14254.688,-24.93,6.01,L,
14255.689,-33.28,4.29,L,
14266.699,-25.63,4.77,L,
14269.695,-28.99,5.87,L,
14274.719,-31.09,4.86,L,
14378.045,-24.52,6.79,L,
14402.054,2.53,5.26,L,
14433.046,24.41,5.29,L,
14445.938,4.46,3.08,L,
14458.050,4.53,4.31,L,
14482.959,11.65,3.89,L,
14504.855,8.92,3.36,L,
14525.946,25.65,4.37,L,
14548.900,22.38,3.29,L,
14572.872,13.31,4.54,L,
14573.724,16.22,3.77,L,
14617.764,11.34,5.29,L,
14620.705,-1.69,3.78,L,
14621.716,11.26,5.22,L,
14627.708,11.39,3.87,L,
14650.692,-2.99,6.79,L,
14762.024,-24.44,7.00,L,
14786.078,-13.05,6.03,L,
14806.150,-22.03,1.98,K,
14807.075,-18.78,1.83,K,
14808.057,-13.83,1.96,K,
14809.069,-21.81,1.88,K,
14810.149,-15.43,1.88,K,
14811.122,-12.80,1.65,K,
14847.038,3.99,1.80,K,
14847.048,18.53,3.83,L,
14904.830,52.37,4.91,L,
14929.814,59.40,1.63,K,
14955.878,69.74,1.60,K,
14963.915,68.12,1.49,K,
14978.706,55.29,4.31,L,
14983.770,64.81,1.59,K,
14984.827,48.72,1.53,K,
14987.759,63.15,1.54,K,
14988.750,63.85,1.60,K,
15002.711,55.03,6.40,L,
15014.741,57.09,1.72,K,
15015.750,61.18,1.58,K,
15151.052,-23.66,6.04,L,
15164.112,-21.86,1.83,K,
15172.150,-26.29,2.05,K,
15173.097,-31.15,1.93,K,
15189.119,-40.47,1.85,K,
15229.007,-30.27,3.76,L,
15241.871,-40.78,4.23,L,
15242.872,-36.26,3.75,L,
15243.855,-43.99,5.27,L,
15260.941,-26.13,1.65,K,
15271.797,-27.09,3.77,L,
15272.789,-11.58,6.00,L,
15273.750,-25.81,3.66,L,
15285.854,-12.17,1.75,K,
15311.810,-5.48,1.43,K,
15312.791,2.81,1.56,K,
