5722.48192,-156.41,34.00,-25.0,68.0,0.163,FEROS
5725.50346,72.59,41.00,-64.0,82.0,0.721,FEROS
5736.54834,-43.41,29.00,10.0,58.0,0.760,FEROS
5737.51083,-49.41,31.00,7.0,62.0,0.938,FEROS
5738.54029,-166.41,33.00,-52.0,66.0,0.128,FEROS
5754.47565,-35.41,48.00,-29.0,96.0,0.070,FEROS
5756.49554,-36.41,45.00,-111.0,90.0,0.443,FEROS
5757.52534,97.59,52.00,-177.0,104.0,0.633,FEROS
5934.15946,104.14,109.00,---,---,0.246,CYCLOPS
5934.86914,72.59,33.00,8.0,66.0,0.377,FEROS
5936.80355,219.59,27.00,4.0,54.0,0.735,FEROS
5938.23445,22.14,177.00,---,---,0.999,CYCLOPS
5938.87128,69.59,30.00,-11.0,60.0,0.116,FEROS
5939.81042,39.59,31.00,-6.0,62.0,0.290,FEROS
5943.16020,244.14,82.00,---,---,0.908,CYCLOPS
5969.77597,130.39,36.00,-61.0,72.0,0.822,Coralie
5988.70024,74.59,28.00,0.0,56.0,0.317,FEROS
6056.06292,136.14,29.00,---,---,0.754,CYCLOPS
6057.03928,318.14,27.00,---,---,0.934,CYCLOPS
6059.00663,65.14,73.00,---,---,0.298,CYCLOPS
6059.08191,46.14,30.00,---,---,0.312,CYCLOPS
6375.71072,224.59,24.00,87.0,48.0,0.773,FEROS
6376.71477,101.59,26.00,237.0,52.0,0.958,FEROS
6424.70951,229.59,40.00,-90.0,80.0,0.820,FEROS
6427.67642,54.59,69.00,-123.0,138.0,0.367,FEROS
6464.53773,-119.61,50.00,43.0,100.0,0.173,Coralie
6465.53888,85.39,43.00,65.0,86.0,0.358,Coralie
6694.77700,-71.73,6.28,---,---,0.684,PFS
6696.82969,-214.95,4.90,---,---,0.063,PFS
6697.75879,-248.73,4.86,---,---,0.234,PFS
6700.82214,-101.76,5.72,---,---,0.800,PFS
6703.71677,-296.25,8.71,---,---,0.334,PFS
6727.73071,24.39,48.00,-95.0,96.0,0.768,Coralie
6728.62473,-128.61,36.00,-61.0,72.0,0.933,Coralie
6729.69322,-197.61,37.00,76.0,74.0,0.131,Coralie
6730.68884,-209.61,46.00,-119.0,92.0,0.314,Coralie
6731.74803,-109.61,55.00,104.0,110.0,0.510,Coralie
6732.69422,-158.61,41.00,15.0,82.0,0.685,Coralie
7182.46643,32.59,11.00,16.0,22.0,0.729,FEROS
7185.59484,-117.41,19.00,-27.0,38.0,0.306,FEROS
7462.66518,204.59,11.00,-28.0,22.0,0.464,FEROS
7463.86306,302.59,16.00,-37.0,32.0,0.685,FEROS
7464.73538,254.59,14.00,-29.0,28.0,0.846,FEROS
