5317.7161,43.8,5.3,FEROS
5336.8361,39.7,4.4,FEROS
5379.7325,41.7,3.9,FEROS
5428.5941,41.8,4.9,FEROS
5729.7413,68.9,4.8,FEROS
5744.6796,82.7,5.1,FEROS
5793.6145,59.0,6.2,FEROS
6047.6958,-12.2,2.7,FEROS
6056.6979,-31.1,2.9,FEROS
6066.6960,-24.8,3.8,FEROS
6099.6861,-21.7,3.5,FEROS
6110.6576,-17.6,4.2,FEROS
6140.6536,-28.7,4.9,FEROS
6321.8844,-28.2,4.0,FEROS
6342.9030,-16.0,3.8,FEROS
6412.6527,-10.4,3.0,FEROS
7114.8393,-102.5,4.2,FEROS
7174.5725,-84.3,5.2,FEROS
4869.2727,158.3,2.4,UCLES
5381.0725,27.9,1.9,UCLES
5707.0809,77.6,4.6,UCLES
5969.2830,22.7,1.5,UCLES
5994.1579,5.6,2.0,UCLES
6052.0874,-24.0,3.6,UCLES
6088.9942,-22.0,1.7,UCLES
6344.2382,-13.0,1.9,UCLES
6375.2713,-0.0,1.9,UCLES
6400.1449,0.0,1.7,UCLES
6494.9152,1.3,2.0,UCLES
6529.9054,-2.3,2.4,UCLES
6747.1435,-37.8,1.6,UCLES
