8578.51514,8.3561,0.0035,6.5993,0.0833,38.785,1800,35.5
8579.53150,8.3449,0.0030,6.6112,0.0635,38.743,1500,40.8
9205.63053,8.3640,0.0026,6.4372,0.0499,39.787,1800,43.0
9206.63247,8.3729,0.0018,6.4598,0.0446,39.642,1800,58.6
9207.57568,8.3665,0.0022,6.4685,0.0398,39.526,1800,48.5
9207.66046,8.3655,0.0018,6.4766,0.0470,39.529,1800,58.1
9214.71815,8.3418,0.0019,6.4361,0.0721,39.454,2400,57.0
9215.64475,8.3462,0.0017,6.4391,0.0708,39.640,2400,62.0
9217.68640,8.3486,0.0019,6.4223,0.0515,39.845,1800,55.1
9218.68225,8.3483,0.0017,6.4289,0.0527,39.817,1800,61.0
9219.65704,8.3470,0.0016,6.4178,0.0542,39.848,1800,64.6
9221.60896,8.3482,0.0017,6.4250,0.0660,39.860,1800,60.8
9222.61015,8.3382,0.0016,6.4123,0.0583,39.892,1800,64.0
9223.56895,8.3505,0.0017,6.4189,0.0525,39.943,1800,60.7
9224.66129,8.3476,0.0018,6.4348,0.0403,39.820,1800,58.5
9226.65544,8.3572,0.0019,6.4612,0.0390,39.638,1800,56.1
9227.66789,8.3493,0.0023,6.4623,0.0571,39.592,1800,46.5
9228.64010,8.3423,0.0028,6.4661,0.0659,39.562,1800,40.5
9230.63045,8.3425,0.0017,6.4496,0.0663,39.652,1800,61.3
9231.63611,8.3439,0.0025,6.4623,0.0673,39.691,1800,44.2
9232.63467,8.3486,0.0016,6.4501,0.0619,39.705,1800,64.8
9233.67770,8.3443,0.0018,6.4614,0.0573,39.736,1800,59.0
9242.62501,8.3451,0.0016,6.4328,0.0650,39.495,2400,67.8
9243.56834,8.3522,0.0017,6.4395,0.0521,39.540,1800,62.0
9244.54494,8.3552,0.0019,6.4387,0.0528,39.538,1800,55.9
9244.62785,8.3553,0.0017,6.4513,0.0519,39.516,1800,63.9
9245.60955,8.3526,0.0027,6.4711,0.0454,39.245,1800,41.7
9246.63208,8.3594,0.0020,6.4711,0.0625,39.388,1800,53.8
9247.59527,8.3478,0.0021,6.4614,0.0628,39.417,1800,50.9
9248.61373,8.3503,0.0032,6.4636,0.0792,39.252,2700,36.4
9249.62657,8.3502,0.0022,6.4572,0.0698,39.648,2100,49.9
9250.57953,8.3420,0.0027,6.4415,0.0538,39.744,1860,42.2
9251.59236,8.3586,0.0026,6.4425,0.0492,39.694,1800,43.7
9256.62889,8.3508,0.0021,6.4400,0.0542,39.724,1800,53.8
9257.58116,8.3564,0.0017,6.4369,0.0595,39.724,1800,64.6
9261.63836,8.3525,0.0031,6.4272,0.0582,39.488,1800,38.4
9262.59334,8.3549,0.0028,6.4447,0.0652,39.466,1800,41.8
9264.60899,8.3479,0.0019,6.4604,0.0502,39.435,1800,59.2
9265.56638,8.3532,0.0019,6.4639,0.0633,39.396,1800,57.8
9266.55658,8.3535,0.0022,6.4603,0.0633,39.334,1800,50.4
9267.55362,8.3425,0.0020,6.4707,0.0640,39.352,1800,55.6
9269.57020,8.3487,0.0024,6.4821,0.0541,39.077,1800,47.9
9272.57672,8.3419,0.0021,6.4640,0.0555,39.208,1800,55.5
9273.59284,8.3397,0.0034,6.4738,0.0650,38.892,1800,37.2
9274.58962,8.3417,0.0022,6.5579,0.0610,38.735,1800,52.0
9275.56486,8.3413,0.0023,6.5514,0.0540,38.866,1800,49.6
9276.59246,8.3501,0.0026,6.5467,0.0656,38.799,1800,45.8
9277.57256,8.3518,0.0024,6.5421,0.0557,38.822,1800,48.9
9284.57306,8.3475,0.0024,6.5636,0.0653,38.916,1800,48.1
9287.53172,8.3509,0.0021,6.5785,0.0534,38.835,1800,54.6
9288.53857,8.3512,0.0022,6.5767,0.0612,38.844,1800,51.3
9290.53613,8.3509,0.0024,6.5842,0.0594,38.662,1800,48.7
9291.52201,8.3473,0.0019,6.6084,0.0724,38.602,1800,58.6
9294.53123,8.3411,0.0042,6.4445,0.0656,39.689,1800,31.0
9295.53344,8.3511,0.0021,6.5290,0.0583,39.035,2100,52.6
9296.51173,8.3565,0.0018,6.5513,0.0555,38.968,1800,61.4
9297.52848,8.3549,0.0019,6.5676,0.0610,38.844,1800,60.2
9490.84461,8.3381,0.0031,6.4877,0.0455,39.551,2100,35.6
9491.81716,8.3320,0.0034,6.4756,0.0611,39.570,2100,33.3
9497.84874,8.3623,0.0024,6.5573,0.0357,39.088,2100,45.0
9501.84420,8.3521,0.0028,6.6205,0.0841,38.682,2100,41.3
9502.76982,8.3440,0.0021,6.5560,0.0797,38.988,2100,50.3
9503.79777,8.3469,0.0033,6.5105,0.0817,39.296,2100,34.5
