56147.839,-12.784,0.001
56166.789,-12.538,0.002
56173.522,-12.225,0.001
56175.743,-12.124,0.001
56177.793,-12.000,0.001
56177.875,-11.996,0.002
56179.774,-11.929,0.002
56179.888,-11.941,0.003
56254.898,-12.819,0.001
56254.972,-12.802,0.001
56265.822,-12.640,0.001
56265.943,-12.663,0.001
56287.877,-11.873,0.003
56294.842,-11.892,0.001
56296.838,-11.911,0.001
56297.838,-11.947,0.001
56298.862,-11.942,0.001
56304.837,-12.093,0.001
56321.813,-12.435,0.001
56322.841,-12.430,0.002
56323.836,-12.457,0.005
56483.194,-11.955,0.001
56484.233,-11.913,0.001
56506.194,-11.978,0.002
56507.145,-11.999,0.002
56509.159,-12.061,0.001
56516.042,-12.187,0.002
56527.155,-12.418,0.003
56537.019,-12.571,0.001
56545.210,-12.675,0.001
56549.192,-12.735,0.002
56580.046,-12.187,0.001
56581.044,-12.170,0.003
56602.066,-11.909,0.002
56606.945,-12.011,0.001
56616.947,-12.228,0.001
56817.168,-12.118,0.002
56818.143,-12.147,0.001
56932.895,-12.404,0.002
57 169.103,-12.814,0.002
57 171.085,-12.814,0.003
57 177.087,-12.737,0.002
57 208.095,-11.860,0.002
57 209.211,-11.872,0.002
57 258.008,-12.766,0.002
57 258.998,-12.775,0.001
57 342.797,-12.499,0.001
57 350.926,-12.607,0.005
