2456820.716376,-71.36,45.54,31.4,22.4,TRES,
2456858.681075,-146.54,25.68,-13.9,22.7,TRES,
2456902.667051,-76.83,27.45,4.3,11.4,TRES,
2456903.649365,-104.45,23.31,-15.2,12.8,TRES,
2456931.603340,58.18,24.40,-16.2,13.2,TRES,
2456942.582475,-31.91,36.05,-5.4,17.4,TRES,
2456961.605609,10.19,27.28,14.3,12.5,TRES,
2456970.587814,-28.87,27.59,-6.6,14.5,TRES,
2456971.626563,98.73,23.83,-25.7,13.2,TRES,
2456972.570012,0.00,21.65,-22.7,8.7,TRES,
2456973.591941,-59.52,46.67,23.3,18.6,TRES,
2456974.572029,-85.15,33.93,8.1,11.7,TRES,
2456975.573986,-14.03,27.10,13.3,9.1,TRES,
2456976.619038,-5.85,86.65,42.8,31.1,TRES,
2456977.570913,7.64,29.79,-27.8,19.7,TRES,
2456978.579390,-63.94,43.72,1.1,15.4,TRES,
2457170.875234,-71.552,20.236,-27.53,32.49,APF,
2457176.874662,-58.679,29.458,120.88,27.73,APF,
2457176.905670,-81.028,26.790,152.24,47.21,APF,
2457179.907450,-48.511,18.798,22.04,23.69,APF,
2457181.812386,-23.575,20.735,-106.82,45.24,APF,
2457185.791278,-8.415,25.342,165.72,134.76,APF,
2457185.876904,-5.665,23.185,-68.72,34.65,APF,
2457188.903940,35.698,19.091,-65.81,53.58,APF,
2457189.883791,-41.047,21.227,-94.96,73.25,APF,
2457191.909406,4.362,18.508,71.93,47.05,APF,
2457193.889717,47.605,23.534,54.79,64.07,APF,
2457195.864283,-124.077,18.274,25.99,30.52,APF,
2457196.878076,9.207,19.350,-57.30,29.94,APF,
2457202.756011,89.352,25.827,-108.97,45.76,APF,
2457211.817088,43.054,20.238,-113.89,129.68,APF,
2457217.806699,145.956,21.300,-3.76,55.51,APF,
2457218.800069,120.374,17.939,50.35,48.54,APF,
2457220.714713,-66.971,19.395,52.30,30.09,APF,
2457221.717931,-47.358,21.042,13.77,44.14,APF,
2457222.722571,60.293,22.267,40.62,44.60,APF,
2457224.723782,17.005,20.679,-24.84,45.09,APF,
2457360.571424,-6.17,60.99,-1.3,18.9,TRES,
2457416.034345,-78.71,28.90,-0.7,14.1,TRES,
2457428.044913,126.02,21.65,-22.0,22.0,TRES,
2457433.029939,-82.95,21.93,19.0,11.8,TRES,
